Time,Open,High,Low,Close,Volume,Amount
2010.11.15T14:48:00.000,2.52,2.588,2.509,2.548,101678200,258247968
2010.11.15T14:49:00.000,2.52,2.588,2.509,2.548,101678200,258247968
2010.11.15T14:50:00.000,2.52,2.588,2.509,2.548,101678200,258247968
2010.11.15T14:51:00.000,2.52,2.588,2.509,2.548,101678200,258247968
2010.11.15T15:00:00.000,2.52,2.588,2.509,2.548,101678200,258247968
2010.11.16T14:48:00.000,2.53,2.555,2.414,2.423,34579200,86386848
2010.11.16T14:49:00.000,2.53,2.555,2.414,2.423,34579200,86386848
2010.11.16T14:50:00.000,2.53,2.555,2.414,2.423,34579200,86386848
2010.11.16T14:51:00.000,2.53,2.555,2.414,2.423,34579200,86386848
2010.11.16T15:00:00.000,2.53,2.555,2.414,2.423,34579200,86386848
2010.11.17T14:48:00.000,2.419,2.488,2.375,2.391,15378700,37443324
2010.11.17T14:49:00.000,2.419,2.488,2.375,2.391,15378700,37443324
2010.11.17T14:50:00.000,2.419,2.488,2.375,2.391,15378700,37443324
2010.11.17T14:51:00.000,2.419,2.488,2.375,2.391,15378700,37443324
2010.11.17T15:00:00.000,2.419,2.488,2.375,2.391,15378700,37443324
2010.11.18T14:48:00.000,2.407,2.479,2.407,2.44,16076300,39130068
2010.11.18T14:49:00.000,2.407,2.479,2.407,2.44,16076300,39130068
2010.11.18T14:50:00.000,2.407,2.479,2.407,2.44,16076300,39130068
2010.11.18T14:51:00.000,2.407,2.479,2.407,2.44,16076300,39130068
2010.11.18T15:00:00.000,2.407,2.479,2.407,2.44,16076300,39130068
2010.11.19T14:48:00.000,2.445,2.467,2.36,2.43,4569500,11062895
2010.11.19T14:49:00.000,2.445,2.467,2.36,2.43,4569500,11062895
2010.11.19T14:50:00.000,2.445,2.467,2.36,2.43,4569500,11062895
2010.11.19T14:51:00.000,2.445,2.467,2.36,2.43,4569500,11062895
2010.11.19T15:00:00.000,2.445,2.467,2.36,2.43,4569500,11062895
2010.11.22T14:48:00.000,2.37,2.439,2.37,2.403,6836300,16508483
2010.11.22T14:49:00.000,2.37,2.439,2.37,2.403,6836300,16508483
2010.11.22T14:50:00.000,2.37,2.439,2.37,2.403,6836300,16508483
2010.11.22T14:51:00.000,2.37,2.439,2.37,2.403,6836300,16508483
2010.11.22T15:00:00.000,2.37,2.439,2.37,2.403,6836300,16508483
2010.11.23T14:48:00.000,2.372,2.403,2.304,2.335,1463500,3435419
2010.11.23T14:49:00.000,2.372,2.403,2.304,2.335,1463500,3435419
2010.11.23T14:50:00.000,2.372,2.403,2.304,2.335,1463500,3435419
2010.11.23T14:51:00.000,2.372,2.403,2.304,2.335,1463500,3435419
2010.11.23T15:00:00.000,2.372,2.403,2.304,2.335,1463500,3435419
2010.11.24T14:48:00.000,2.335,2.47,2.335,2.421,5416900,13053515
2010.11.24T14:49:00.000,2.335,2.47,2.335,2.421,5416900,13053515
2010.11.24T14:50:00.000,2.335,2.47,2.335,2.421,5416900,13053515
2010.11.24T14:51:00.000,2.335,2.47,2.335,2.421,5416900,13053515
2010.11.24T15:00:00.000,2.335,2.47,2.335,2.421,5416900,13053515
2010.11.25T14:48:00.000,2.4,2.444,2.386,2.442,7622700,18490900
2010.11.25T14:49:00.000,2.4,2.444,2.386,2.442,7622700,18490900
2010.11.25T14:50:00.000,2.4,2.444,2.386,2.442,7622700,18490900
2010.11.25T14:51:00.000,2.4,2.444,2.386,2.442,7622700,18490900
2010.11.25T15:00:00.000,2.4,2.444,2.386,2.442,7622700,18490900
2010.11.26T14:48:00.000,2.439,2.443,2.403,2.408,4915800,11871006
2010.11.26T14:49:00.000,2.439,2.443,2.403,2.408,4915800,11871006
2010.11.26T14:50:00.000,2.439,2.443,2.403,2.408,4915800,11871006
2010.11.26T14:51:00.000,2.439,2.443,2.403,2.408,4915800,11871006
2010.11.26T15:00:00.000,2.439,2.443,2.403,2.408,4915800,11871006
2010.11.29T14:48:00.000,2.38,2.414,2.38,2.384,2370900,5687420
2010.11.29T14:49:00.000,2.38,2.414,2.38,2.384,2370900,5687420
2010.11.29T14:50:00.000,2.38,2.414,2.38,2.384,2370900,5687420
2010.11.29T14:51:00.000,2.38,2.414,2.38,2.384,2370900,5687420
2010.11.29T15:00:00.000,2.38,2.414,2.38,2.384,2370900,5687420
2010.11.30T14:48:00.000,2.37,2.415,2.31,2.357,13860200,32282404
2010.11.30T14:49:00.000,2.37,2.415,2.31,2.357,13860200,32282404
2010.11.30T14:50:00.000,2.37,2.415,2.31,2.357,13860200,32282404
2010.11.30T14:51:00.000,2.37,2.415,2.31,2.357,13860200,32282404
2010.11.30T15:00:00.000,2.37,2.415,2.31,2.357,13860200,32282404
2010.12.01T14:48:00.000,2.321,2.392,2.321,2.384,1415700,3355186
2010.12.01T14:49:00.000,2.321,2.392,2.321,2.384,1415700,3355186
2010.12.01T14:50:00.000,2.321,2.392,2.321,2.384,1415700,3355186
2010.12.01T14:51:00.000,2.321,2.392,2.321,2.384,1415700,3355186
2010.12.01T15:00:00.000,2.321,2.392,2.321,2.384,1415700,3355186
2010.12.02T14:48:00.000,2.42,2.439,2.391,2.399,9804900,23646872
2010.12.02T14:49:00.000,2.42,2.439,2.391,2.399,9804900,23646872
2010.12.02T14:50:00.000,2.42,2.439,2.391,2.399,9804900,23646872
2010.12.02T14:51:00.000,2.42,2.439,2.391,2.399,9804900,23646872
2010.12.02T15:00:00.000,2.42,2.439,2.391,2.399,9804900,23646872
2010.12.03T14:48:00.000,2.399,2.409,2.381,2.398,4317700,10368120
2010.12.03T14:49:00.000,2.399,2.409,2.381,2.398,4317700,10368120
2010.12.03T14:50:00.000,2.399,2.409,2.381,2.398,4317700,10368120
2010.12.03T14:51:00.000,2.399,2.409,2.381,2.398,4317700,10368120
2010.12.03T15:00:00.000,2.399,2.409,2.381,2.398,4317700,10368120
2010.12.06T14:48:00.000,2.39,2.444,2.39,2.421,21694800,52594560
2010.12.06T14:49:00.000,2.39,2.444,2.39,2.421,21694800,52594560
2010.12.06T14:50:00.000,2.39,2.444,2.39,2.421,21694800,52594560
2010.12.06T14:51:00.000,2.39,2.444,2.39,2.421,21694800,52594560
2010.12.06T15:00:00.000,2.39,2.444,2.39,2.421,21694800,52594560
2010.12.07T14:48:00.000,2.41,2.48,2.393,2.451,2239100,5445234
2010.12.07T14:49:00.000,2.41,2.48,2.393,2.451,2239100,5445234
2010.12.07T14:50:00.000,2.41,2.48,2.393,2.451,2239100,5445234
2010.12.07T14:51:00.000,2.41,2.48,2.393,2.451,2239100,5445234
2010.12.07T15:00:00.000,2.41,2.48,2.393,2.451,2239100,5445234
2010.12.08T14:48:00.000,2.459,2.46,2.415,2.415,1547400,3773694
2010.12.08T14:49:00.000,2.459,2.46,2.415,2.415,1547400,3773694
2010.12.08T14:50:00.000,2.459,2.46,2.415,2.415,1547400,3773694
2010.12.08T14:51:00.000,2.459,2.46,2.415,2.415,1547400,3773694
2010.12.08T15:00:00.000,2.459,2.46,2.415,2.415,1547400,3773694
2010.12.09T14:48:00.000,2.415,2.416,2.368,2.382,1461400,3506711
2010.12.09T14:49:00.000,2.415,2.416,2.368,2.382,1461400,3506711
2010.12.09T14:50:00.000,2.415,2.416,2.368,2.382,1461400,3506711
2010.12.09T14:51:00.000,2.415,2.416,2.368,2.382,1461400,3506711
2010.12.09T15:00:00.000,2.415,2.416,2.368,2.382,1461400,3506711
2010.12.10T14:48:00.000,2.37,2.47,2.37,2.429,454700,1090045
2010.12.10T14:49:00.000,2.37,2.47,2.37,2.429,454700,1090045
2010.12.10T14:50:00.000,2.37,2.47,2.37,2.429,454700,1090045
2010.12.10T14:51:00.000,2.37,2.47,2.37,2.429,454700,1090045
2010.12.10T15:00:00.000,2.37,2.47,2.37,2.429,454700,1090045
2010.12.13T14:48:00.000,2.401,2.48,2.4,2.474,3105300,7634011
2010.12.13T14:49:00.000,2.401,2.48,2.4,2.474,3105300,7634011
2010.12.13T14:50:00.000,2.401,2.48,2.4,2.474,3105300,7634011
2010.12.13T14:51:00.000,2.401,2.48,2.4,2.474,3105300,7634011
2010.12.13T15:00:00.000,2.401,2.48,2.4,2.474,3105300,7634011
2010.12.14T14:48:00.000,2.484,2.484,2.461,2.462,1297500,3206735
2010.12.14T14:49:00.000,2.484,2.484,2.461,2.462,1297500,3206735
2010.12.14T14:50:00.000,2.484,2.484,2.461,2.462,1297500,3206735
2010.12.14T14:51:00.000,2.484,2.484,2.461,2.462,1297500,3206735
2010.12.14T15:00:00.000,2.484,2.484,2.461,2.462,1297500,3206735
2010.12.15T14:48:00.000,2.473,2.498,2.451,2.458,2009400,4964406
2010.12.15T14:49:00.000,2.473,2.498,2.451,2.458,2009400,4964406
